;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour;Month;Day;Hour
OS no;1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10;10;11;11;11;12;12;12
;1;1;1;2;1;1;3;1;1;4;1;1;5;1;1;6;1;1;7;1;1;8;1;1;9;1;1;10;1;1;11;1;1;12;1;1
;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2;;2;2
;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3;;3;3
;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4
;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5;;5;5
;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6;;6;6
;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7;;7;7
;;;8;;;8;;;8;;;8;;;8;;;8;;;8;;;8;;;8;;;8;;;8;;;8
;;;9;;;9;;;9;;;9;;;9;;;9;;;9;;;9;;;9;;;9;;;9;;;9
;;;10;;;10;;;10;;;10;;;10;;;10;;;10;;;10;;;10;;;10;;;10;;;10
;;;11;;;11;;;11;;;11;;;11;;;11;;;11;;;11;;;11;;;11;;;11;;;11
;;;12;;;12;;;12;;;12;;;12;;;12;;;12;;;12;;;12;;;12;;;12;;;12
;;;13;;;13;;;13;;;13;;;13;;;13;;;13;;;13;;;13;;;13;;;13;;;13
;;;14;;;14;;;14;;;14;;;14;;;14;;;14;;;14;;;14;;;14;;;14;;;14
;;;15;;;15;;;15;;;15;;;15;;;15;;;15;;;15;;;15;;;15;;;15;;;15
;;;16;;;16;;;16;;;16;;;16;;;16;;;16;;;16;;;16;;;16;;;16;;;16
;;;17;;;17;;;17;;;17;;;17;;;17;;;17;;;17;;;17;;;17;;;17;;;17
;;;18;;;18;;;18;;;18;;;18;;;18;;;18;;;18;;;18;;;18;;;18;;;18
;;;19;;;19;;;19;;;19;;;19;;;19;;;19;;;19;;;19;;;19;;;19;;;19
;;;20;;;20;;;20;;;20;;;20;;;20;;;20;;;20;;;20;;;20;;;20;;;20
;;;21;;;21;;;21;;;21;;;21;;;21;;;21;;;21;;;21;;;21;;;21;;;21
;;;22;;;22;;;22;;;22;;;22;;;22;;;22;;;22;;;22;;;22;;;22;;;22
;;;23;;;23;;;23;;;23;;;23;;;23;;;23;;;23;;;23;;;23;;;23;;;23
;;;24;;;24;;;24;;;24;;;24;;;24;;;24;;;24;;;24;;;24;;;24;;;24
